rid;time;value
51026709;2017-02-01 14:40:00;6
51027093;2017-02-01 14:45:00;3
51027411;2017-02-01 14:50:00;3
51027668;2017-02-01 14:55:00;3
51028034;2017-02-01 15:00:00;3
51028318;2017-02-01 15:05:00;6
51028691;2017-02-01 15:10:00;4
0;2017-02-01 15:15:00;0
51029256;2017-02-01 15:20:00;2
51029536;2017-02-01 15:25:00;3
51029810;2017-02-01 15:30:00;2
51030068;2017-02-01 15:35:00;8
51030404;2017-02-01 15:40:00;1
51030782;2017-02-01 15:45:00;1
51031157;2017-02-01 15:50:00;1
51031256;2017-02-01 15:55:00;5
51031695;2017-02-01 16:00:00;2
51031925;2017-02-01 16:05:00;9
51032207;2017-02-01 16:10:00;3
51032654;2017-02-01 16:15:00;2
51032865;2017-02-01 16:20:00;6
51033137;2017-02-01 16:25:00;5
51033407;2017-02-01 16:30:00;5
51033712;2017-02-01 16:35:00;1
51033877;2017-02-01 16:40:00;2
51034130;2017-02-01 16:45:00;2
51034510;2017-02-01 16:50:00;2
51034816;2017-02-01 16:55:00;3
51034983;2017-02-01 17:00:00;5
51035458;2017-02-01 17:05:00;2
51035599;2017-02-01 17:10:00;3
51035903;2017-02-01 17:15:00;1
0;2017-02-01 17:20:00;0
51036200;2017-02-01 17:25:00;3
51036607;2017-02-01 17:30:00;2
0;2017-02-01 17:35:00;0
51037029;2017-02-01 17:40:00;2
51037170;2017-02-01 17:45:00;5
51037411;2017-02-01 17:50:00;3
51037740;2017-02-01 17:55:00;1
0;2017-02-01 18:00:00;0
0;2017-02-01 18:05:00;0
51038626;2017-02-01 18:10:00;1
51039055;2017-02-01 18:15:00;3
51039215;2017-02-01 18:20:00;1
0;2017-02-01 18:25:00;0
0;2017-02-01 18:30:00;0
51039901;2017-02-01 18:35:00;1
0;2017-02-01 18:40:00;0
0;2017-02-01 18:45:00;0
0;2017-02-01 18:50:00;0
51040520;2017-02-01 18:55:00;1
51040716;2017-02-01 19:00:00;1
51040895;2017-02-01 19:05:00;2
0;2017-02-01 19:10:00;0
0;2017-02-01 19:15:00;0
51041426;2017-02-01 19:20:00;3
51041648;2017-02-01 19:25:00;3
0;2017-02-01 19:30:00;0
51041891;2017-02-01 19:35:00;1
0;2017-02-01 19:40:00;0
51042184;2017-02-01 19:45:00;4
0;2017-02-01 19:50:00;0
51042643;2017-02-01 19:55:00;4
51042754;2017-02-01 20:00:00;1
51043004;2017-02-01 20:05:00;1
51043072;2017-02-01 20:10:00;2
51043370;2017-02-01 20:15:00;2
0;2017-02-01 20:20:00;0
0;2017-02-01 20:25:00;0
0;2017-02-01 20:30:00;0
